Site,Species ,Survey 1,Survey 2,Survey 3
Afton,Acridotheris tristis ,0,1,1
Albert,Acridotheris tristis ,0,1,0
Andrews,Acridotheris tristis ,1,1,1
Burnley ,Acridotheris tristis ,0,0,0
Burnley Park,Acridotheris tristis ,1,0,0
Canning ,Acridotheris tristis ,1,1,1
Carlton ,Acridotheris tristis ,1,1,1
Edinburgh ,Acridotheris tristis ,1,1,1
Fawkner ,Acridotheris tristis ,1,1,0
Fitzroy ,Acridotheris tristis ,1,1,0
Flagstaff,Acridotheris tristis ,1,1,1
King's Domain,Acridotheris tristis ,1,0,1
Lincoln,Acridotheris tristis ,0,1,0
Native Garden ,Acridotheris tristis ,0,0,0
Oval ,Acridotheris tristis ,1,1,1
Pavillion ,Acridotheris tristis ,1,1,0
Poyntons ,Acridotheris tristis ,1,1,0
Princes North,Acridotheris tristis ,1,1,1
Princes South ,Acridotheris tristis ,1,0,1
Shrine,Acridotheris tristis ,0,0,0
South Lawn,Acridotheris tristis ,0,1,0
Thompson ,Acridotheris tristis ,1,1,0
Waterhole ,Acridotheris tristis ,1,1,1
Westfield ,Acridotheris tristis ,0,1,0
Yarra Edge ,Acridotheris tristis ,1,0,0
