Site,Latitude,Longitude,Area,Canopy,Proportioncover,Nearest,Numbpark,Areanearest,CommonCount,RainbowCount,NoisyCount
Afton Reserve,-37.760765,144.885316,11.3,10,88.49557522,603,43,4.1,1.67,11.67,0.67
Albert Park ,-37.856592,144.981386,227,87,38.32599119,574,120,2.5,0.33,13,18.33
Andrews Reserve ,-37.805566,145.00042,360,293,81.38888889,1385,144,2,17.67,26.33,11
Burnley ,-37.826815,145.014753,6,6,100,410,69,6,0,11,14.33
Burnley Park ,-37.827559,145.021931,7.9,6,75.94936709,229,76,2.4,0.33,13.67,10.33
Canning Reserve,37.767466,144.871102,12.6,9,71.42857143,1411,51,53.6,6,11.33,2.33
Carlton Gardens ,-37.806449,144.970154,26.4,21,79.54545455,527,61,1.3,33.33,2.66,1.33
Edinurgh Gardens ,-37.787223,144.98294,17.3,12,69.36416185,888,78,1.6,3,17,7.33
Fawkner Park ,-37.840975,144.981659,41.5,24,57.8313253,632,97,2.5,1.33,3.66,11
Fitzroy Gardens ,-37.813669,144.98075,28,28,100,414,69,5.7,5.67,10.67,1
Flagstaff Gardens ,-37.809852,144.953538,7.63,7,91.74311927,26.4,37,1660,17.33,5,6.67
King's Domain ,-37.82234,144.973154,127,108,85.03937008,576,106,3.4,8.67,5,12.67
Lincoln Square ,-37.802424,144.962799,1.43,1,69.93006993,252,44,1.3,0.67,0.67,2.33
Native Garden ,-37.7918,144.9568,209,159,76.07655502,980,110,39.9,0,18,21.33
Oval,-37.790181,144.948103,209,159,76.07655502,980,110,39.9,2.67,21.33,12.33
Pavilion ,-37.831817,144.982016,127,108,85.03937008,576,106,3.4,10.33,1.33,4
Poyntons ,-37.764602,144.893334,4.1,3,73.17073171,603,39,11.3,1.33,27.67,11
Princes North ,-37.780316,144.961845,39.9,22,55.13784461,547,75,45.4,4,22.67,13
Princes South,-37.789417,144.95957,39.9,22,55.13784461,547,75,45.4,1,9.67,11
Shrine ,-37.829549,144.973875,127,108,85.03937008,576,106,3.4,0,4,18
South Lawn ,-37.798735,144.960348,1.24,1,80.64516129,316,41,1.1,0.33,7.67,4.67
Thompson Reserve,-37.777402,144.896082,28.5,19,66.66666667,497,43,39.6,2.33,17.33,16.33
Waterhole ,-37.782317,144.944385,209,159,76.07655502,980,110,39.9,5.33,10.33,5.67
Westfield Reserve ,-37.785169,145.006718,360,293,81.38888889,1385,144,2,0.33,13.33,12.33
Yarra Edge ,-37.791414,145.006804,360,293,81.38888889,1385,144,2,1.33,20.33,7
