Site,Species ,Survey 1,Survey 2,Survey 3
Afton,Trichoglossus moluccanus,1,1,1
Albert,Trichoglossus moluccanus,1,1,1
Andrews,Trichoglossus moluccanus,1,1,1
Burnley ,Trichoglossus moluccanus,1,1,1
Burnley Park,Trichoglossus moluccanus,1,1,1
Canning ,Trichoglossus moluccanus,1,1,1
Carlton ,Trichoglossus moluccanus,1,0,1
Edinburgh ,Trichoglossus moluccanus,1,1,1
Fawkner ,Trichoglossus moluccanus,1,1,1
Fitzroy ,Trichoglossus moluccanus,1,1,0
Flagstaff,Trichoglossus moluccanus,1,0,1
King's Domain,Trichoglossus moluccanus,1,0,1
Lincoln,Trichoglossus moluccanus,1,0,1
Native Garden ,Trichoglossus moluccanus,1,1,1
Oval ,Trichoglossus moluccanus,1,1,1
Pavillion ,Trichoglossus moluccanus,1,0,0
Poyntons ,Trichoglossus moluccanus,1,1,1
Princes North,Trichoglossus moluccanus,1,1,1
Princes South ,Trichoglossus moluccanus,1,1,1
Shrine,Trichoglossus moluccanus,1,0,1
South Lawn,Trichoglossus moluccanus,1,1,1
Thompson ,Trichoglossus moluccanus,1,1,1
Waterhole ,Trichoglossus moluccanus,1,0,1
Westfield ,Trichoglossus moluccanus,1,1,1
Yarra Edge ,Trichoglossus moluccanus,1,1,1
