Site,Species ,Survey 1,Survey 2,Survey 3
Afton,Manorina melanocephala ,1,0,0
Albert,Manorina melanocephala ,1,1,1
Andrews,Manorina melanocephala ,1,1,1
Burnley ,Manorina melanocephala ,1,1,1
Burnley Park,Manorina melanocephala ,1,1,1
Canning ,Manorina melanocephala ,1,1,0
Carlton ,Manorina melanocephala ,1,1,0
Edinburgh ,Manorina melanocephala ,1,1,1
Fawkner ,Manorina melanocephala ,1,1,1
Fitzroy ,Manorina melanocephala ,1,0,0
Flagstaff,Manorina melanocephala ,1,1,1
King's Domain,Manorina melanocephala ,1,1,1
Lincoln,Manorina melanocephala ,1,1,0
Native Garden ,Manorina melanocephala ,1,1,1
Oval ,Manorina melanocephala ,1,1,1
Pavillion ,Manorina melanocephala ,1,1,0
Poyntons ,Manorina melanocephala ,1,1,1
Princes North,Manorina melanocephala ,1,1,1
Princes South ,Manorina melanocephala ,1,1,1
Shrine,Manorina melanocephala ,1,1,1
South Lawn,Manorina melanocephala ,1,1,1
Thompson ,Manorina melanocephala ,1,1,1
Waterhole ,Manorina melanocephala ,1,1,1
Westfield ,Manorina melanocephala ,1,1,1
Yarra Edge ,Manorina melanocephala ,1,1,1
