Site,Species ,Survey 1,Survey 2,Survey 3
Afton,Psephotus haematonotus,0,1,1
Albert,Psephotus haematonotus,0,0,0
Andrews,Psephotus haematonotus,1,1,1
Burnley ,Psephotus haematonotus,0,0,1
Burnley Park,Psephotus haematonotus,0,1,0
Canning ,Psephotus haematonotus,1,1,1
Carlton ,Psephotus haematonotus,0,0,0
Edinburgh ,Psephotus haematonotus,0,1,0
Fawkner ,Psephotus haematonotus,0,0,0
Fitzroy ,Psephotus haematonotus,0,0,0
Flagstaff,Psephotus haematonotus,0,0,0
King's Domain,Psephotus haematonotus,0,0,0
Lincoln,Psephotus haematonotus,0,0,0
Native Garden ,Psephotus haematonotus,1,0,0
Oval ,Psephotus haematonotus,0,0,0
Pavillion ,Psephotus haematonotus,0,0,0
Poyntons ,Psephotus haematonotus,0,0,1
Princes North,Psephotus haematonotus,0,0,0
Princes South ,Psephotus haematonotus,0,0,0
Shrine,Psephotus haematonotus,0,0,0
South Lawn,Psephotus haematonotus,0,0,0
Thompson ,Psephotus haematonotus,1,1,1
Waterhole ,Psephotus haematonotus,0,1,0
Westfield ,Psephotus haematonotus,1,0,0
Yarra Edge ,Psephotus haematonotus,1,1,1
